Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
21/7/2025,7/7/2025,V-KYSB,WOB05627,C02016 DYNA DOORS (THE TRSTEE FOR J & A MURPHY FAMILY TRUST TR AS,NV | 272-1137S Surfmist Satin,CPO-BO of original order,1,2,0,0,0,9.49
21/7/2025,7/7/2025,W-HOPV,WOB05628,- None -,W | 2729066M MONUMENT MATT,**Darley stock** please pack in bundles and please don't mix sections,5,29,0,0,0,119.77
21/7/2025,7/7/2025,W-HOPV,WOB05629,- None -,W | 2722266M SURFMIST MATT (BOND OFFWHITE),**Darley stock** please pack in bundles and please don't mix sections,2,10,0,0,0,6.5
21/7/2025,7/7/2025,W-HOPV,WOB05633,- None -,W | GA228A VIVICA SNOW DUST MATT(WHITE LUSTRE),**Darley stock** please pack in bundles and please don't mix sections,3,30,0,0,0,25.27
21/7/2025,7/7/2025,W-HOPV,WOB05635,- None -,W | GY235A ANODIC NATURAL MATT (SILVER LUSTRE),**Darley stock** please pack in bundles and please don't mix sections,3,53,0,0,0,37.06
21/7/2025,7/7/2025,W-HOPV,WOB05637,- None -,W | GD188A DOESKIN SATIN,**Darley stock** please pack in bundles and please don't mix sections,2,40,0,0,0,18.58
21/7/2025,7/7/2025,W-HOPV,WOB05638,C01593 ELEVATE WINDOWS WA PTY LTD,W | GA236A SURFMIST(R) MATT (BOND OFFWHITE),- None -,7,11,0,0,0,10.01
21/7/2025,7/7/2025,W-HOPV,WOB05639,- None -,W | GD025A MAGNOLIA GLOSS,**Darley stock** please pack in bundles and please don't mix sections,2,30,0,0,0,12.9
21/7/2025,7/7/2025,W-HOPV,WOB05641,- None -,W | 27281880 CLASSIC PEARL WHITE,**Darley stock** please pack in bundles,1,20,0,0,0,8.6
21/7/2025,7/7/2025,W-HOPV,WOB05642,C01593 ELEVATE WINDOWS WA PTY LTD,W | GL229A MONUMENT(R) MATT,- None -,2,2,0,0,0,1.68
21/7/2025,7/7/2025,W-HOPV,WOB05649,- None -,W | GL213A ANODIC DARK GREY MATT,**Darley stock** please pack in bundles and please don't mix sections,5,52,0,0,0,72.86
